"group_id"	"type"	"items_in_group"	"lo_value"	"p"	"FDR"	"goodsgrna"	"rank"	"log2FoldChange"
"SUMO2"	"x"	6	0.011235	0.035121	0.907441	2	59	-0.2125
"POLE4"	"x"	6	0.011666	0.036174	0.907441	3	60	-0.33289
"HLA-B"	"x"	6	0.012558	0.038174	0.907441	2	61	0.04485
"POLA2"	"x"	6	0.012656	0.038342	0.907441	3	62	-0.3
"FANCM"	"x"	6	0.012892	0.03876	0.907441	3	63	-0.281
"MAPK3"	"x"	6	0.013557	0.040056	0.907441	3	64	-0.355
"MCL1"	"x"	6	0.013995	0.040816	0.907441	3	65	-0.2745
"AXIN1"	"x"	6	0.014102	0.041109	0.907441	2	66	-0.2435
"GMNN"	"x"	6	0.014193	0.041271	0.907441	3	67	-0.35
"INTS10"	"x"	6	0.01482	0.042723	0.907441	2	68	-0.12921
"SENP1"	"x"	6	0.015	0.043084	0.907441	3	69	-0.3185
"PIAS1"	"x"	6	0.015088	0.043333	0.907441	2	70	-0.305
"VAV2"	"x"	6	0.015309	0.043863	0.907441	3	71	-0.3785
"HUS1"	"x"	6	0.015513	0.044305	0.907441	2	72	-0.0048
"SHPRH"	"x"	6	0.015887	0.045022	0.907441	3	73	-0.2655
"IFNB1"	"x"	6	0.016047	0.045358	0.907441	3	74	-0.236
"GDNF"	"x"	6	0.016916	0.047072	0.907441	3	75	-0.456
"ORC4"	"x"	6	0.016974	0.047178	0.907441	1	76	-0.28
"POLD3"	"x"	6	0.017026	0.047284	0.907441	3	77	-0.39
"POLD2"	"x"	6	0.017585	0.048505	0.907441	3	78	-0.358
"PPP1CC"	"x"	6	0.017691	0.048779	0.907441	1	79	0.188
"RAD51"	"x"	6	0.018155	0.049795	0.907441	3	80	-0.3215
"HTT"	"x"	6	0.018283	0.0501	0.907441	2	81	0.161
"CUL1"	"x"	6	0.018407	0.050368	0.907441	2	82	-0.1735
"DEFA5"	"x"	6	0.019123	0.051851	0.907441	2	83	-0.2071
"BMPR1A"	"x"	6	0.019212	0.051994	0.907441	2	84	-0.18595
"SOX2"	"x"	6	0.019388	0.0523	0.907441	3	85	-0.297
"FOXA2"	"x"	6	0.019689	0.052929	0.907441	3	86	-0.4155
"MAP3K2"	"x"	6	0.020282	0.054275	0.907441	2	87	-0.1266
"INTS12"	"x"	6	0.020554	0.054879	0.907441	2	88	-0.209
"AURKB"	"x"	6	0.020794	0.055484	0.907441	3	89	-0.1667
"CREBBP"	"x"	6	0.020856	0.055614	0.907441	3	90	-0.312
"CSNK1E"	"x"	6	0.021255	0.05635	0.907441	2	91	0.1119
"PTPA"	"x"	6	0.021269	0.056362	0.907441	1	92	0.11185
"MCM5"	"x"	6	0.02136	0.056537	0.907441	3	93	-0.14325
"nc_chr7_8"	"n"	1	0.02152	0.021631	0.763806	1	94	-0.763
"RPL6"	"p"	6	0.021807	0.057415	0.912327	3	95	-0.261
"SOCS3"	"x"	6	0.022122	0.058051	0.913293	2	96	0.11615
"EIF4EBP1"	"x"	6	0.024123	0.0625	0.93763	3	97	-0.2755
"NELFCD"	"x"	6	0.024292	0.062873	0.93763	2	98	-0.0727
"RFC2"	"x"	6	0.024836	0.064032	0.93763	1	99	-0.2845
"PDGFRA"	"x"	6	0.025078	0.064525	0.93763	3	100	-0.2355
"PPP2R5B"	"x"	6	0.025934	0.066344	0.93763	3	101	-0.2195
"ARHGAP35"	"x"	6	0.02626	0.067098	0.93763	2	102	-0.2475
"BRAF"	"x"	6	0.026971	0.068681	0.93763	2	103	-0.5825
"NUP98"	"p"	6	0.0276	0.06984	0.93763	3	104	-0.4065
"SMAD6"	"x"	6	0.027822	0.070332	0.93763	3	105	-0.3445
"CTNNA1"	"x"	6	0.028195	0.071092	0.93763	2	106	-0.1432
"ARNTL"	"x"	6	0.028392	0.071566	0.93763	1	107	-0.009575
"ARHGEF7"	"x"	6	0.029102	0.073117	0.93763	1	108	0.1207
"NUMB"	"x"	6	0.029174	0.073248	0.93763	2	109	-0.1165
"BMF"	"x"	6	0.029327	0.073578	0.93763	3	110	-0.1859
"TSC1"	"x"	6	0.029457	0.073809	0.93763	2	111	-0.3895
"NUP93"	"p"	6	0.029634	0.074108	0.93763	3	112	-0.3995
"TUBA4A"	"x"	6	0.030331	0.075479	0.93763	3	113	-0.08305
"MED1"	"x"	6	0.030879	0.076469	0.93763	3	114	-0.455
"PMS2"	"x"	6	0.030887	0.076482	0.93763	2	115	-0.0865
"FADD"	"x"	6	0.031593	0.077965	0.93763	3	116	-0.1428
"CDH1"	"x"	6	0.031612	0.078002	0.93763	2	117	-0.073455
"KLK11"	"x"	6	0.031759	0.078326	0.93763	3	118	-0.20865
"ABHD11"	"x"	6	0.032051	0.078943	0.93763	3	119	-0.307
"CRKL"	"x"	6	0.032803	0.080513	0.93763	3	120	-0.11705
"SOX17"	"x"	6	0.032885	0.080731	0.93763	3	121	-0.1725
"PTPN1"	"x"	6	0.033234	0.081442	0.93763	2	122	-0.0986
"WDR48"	"x"	6	0.033353	0.081735	0.93763	2	123	-0.3865
"UHRF1"	"x"	6	0.033833	0.082669	0.93763	2	124	-0.154
"TRIB3"	"x"	6	0.033983	0.083074	0.93763	3	125	-0.289
"NCOR1"	"x"	6	0.03404	0.083199	0.93763	3	126	-0.2083
"MAP3K14"	"x"	6	0.03406	0.08323	0.93763	1	127	-0.181
"ITGB4"	"x"	6	0.035473	0.086059	0.93763	2	128	0.00865
"NR2C2AP"	"x"	5	0.035552	0.084333	0.93763	3	129	-0.187
"nc_chr7_4"	"n"	1	0.035584	0.035544	0.907441	1	130	-0.571
"ABI1"	"x"	6	0.036074	0.087293	0.93763	3	131	-0.2242
"CCT2"	"x"	6	0.036178	0.087554	0.93763	1	132	-0.2655
"ORC2"	"x"	6	0.036593	0.088476	0.93763	3	133	-0.244
"MST1R"	"x"	6	0.036767	0.088788	0.93763	3	134	-0.2355
"SALL4"	"x"	6	0.036884	0.089031	0.93763	1	135	-0.18561
"nc_chr14_2"	"n"	1	0.036918	0.036996	0.907441	1	136	-0.354
"FZD6"	"x"	6	0.037204	0.089692	0.93763	3	137	-0.163
"POLE3"	"x"	6	0.03783	0.091019	0.940625	2	138	0.00385
"DNA2"	"x"	6	0.038462	0.092234	0.940625	2	139	-0.169
"MIS12"	"x"	6	0.038997	0.09338	0.940625	2	140	-0.19045
"DNMT1"	"x"	5	0.039081	0.091604	0.940625	1	141	0.189
"CSNK1A1"	"x"	6	0.039257	0.093885	0.940625	2	142	-0.3185
"NR1D1"	"x"	6	0.039343	0.094072	0.940625	3	143	-0.3705
"POLB"	"x"	6	0.039577	0.094514	0.940625	2	144	-0.0987
"PRKCZ"	"x"	6	0.0397	0.094714	0.940625	2	145	-0.1176
"nc_chr2_9"	"n"	1	0.041161	0.041227	0.907441	1	146	-0.554
"HMGN1"	"x"	6	0.042019	0.099287	0.966127	3	147	-0.3125
"TBC1D4"	"x"	6	0.04249	0.10029	0.966127	3	148	-0.2285
"WWC1"	"x"	6	0.04251	0.10032	0.966127	1	149	-0.263
"FOSL1"	"x"	5	0.042786	0.096932	0.956675	2	150	-0.177
"SFPQ"	"x"	6	0.043251	0.10157	0.972295	3	151	-0.12875
"KCNK3"	"x"	6	0.044116	0.1033	0.977045	3	152	-0.143
"ARFIP2"	"x"	6	0.044613	0.10443	0.981567	1	153	-0.0986
"RAD21"	"x"	6	0.044892	0.10501	0.981567	3	154	-0.24325
"BTK"	"x"	6	0.04569	0.10681	0.984607	3	155	-0.372
"TAF6L"	"x"	6	0.047411	0.11028	0.984607	2	156	-0.10585
"CDKN1C"	"x"	6	0.047974	0.11131	0.984607	3	157	-0.287
"IL20RB"	"x"	6	0.048076	0.11147	0.984607	3	158	-0.121325
"SNCA"	"x"	6	0.048279	0.11187	0.984607	3	159	-0.3345
"MAD2L1"	"x"	6	0.048686	0.11278	0.984607	3	160	-0.3495
"SP1"	"x"	6	0.048966	0.11319	0.984607	2	161	-0.2135
"ARHGEF1"	"x"	6	0.049505	0.11427	0.984607	1	162	-0.07058
"CHTF18"	"x"	6	0.04961	0.11452	0.984607	3	163	-0.2655
"nc_chr11_1"	"n"	1	0.049648	0.050243	0.907441	1	164	-0.496
"DUSP7"	"x"	6	0.04992	0.11516	0.984607	3	165	-0.296999907
"PHB2"	"x"	6	0.050197	0.11564	0.984607	2	166	-0.2355
"PALLD"	"x"	6	0.050335	0.11592	0.984607	3	167	-0.2196
"NEK2"	"x"	6	0.051066	0.11751	0.984607	3	168	-0.15855
"PSEN2"	"x"	6	0.051617	0.11873	0.984607	3	169	-0.09195
"NCOA4"	"x"	6	0.052227	0.1199	0.984607	3	170	-0.312
"CSF1R"	"x"	6	0.05229	0.12002	0.984607	1	171	0.01145
"VRK1"	"x"	6	0.052333	0.12009	0.984607	3	172	-0.336
"MAP3K4"	"x"	6	0.052693	0.12078	0.984607	3	173	-0.278
"GTF2H5"	"x"	6	0.052973	0.12131	0.984607	3	174	-0.2639
"nc_chr4_9"	"n"	1	0.053164	0.053496	0.907441	1	175	-0.319
"IL21R"	"x"	6	0.053597	0.12252	0.984607	2	176	-0.1408
"BRAT1"	"x"	6	0.053681	0.12268	0.984607	1	177	-0.023335
"AKT3"	"x"	6	0.054375	0.12399	0.984607	2	178	-0.13955
"DDB1"	"x"	6	0.054483	0.12419	0.984607	3	179	-0.5025
"YWHAZ"	"x"	6	0.0547	0.12455	0.984607	3	180	-0.259
"HDAC4"	"x"	6	0.055137	0.1254	0.986447	3	181	-0.202
"PPP2R1A"	"x"	6	0.055763	0.1266	0.991001	1	182	-0.1189
"ENO1"	"x"	6	0.057237	0.12949	0.997101	3	183	-0.295
"LATS2"	"x"	6	0.057842	0.13062	0.997101	1	184	-0.08725
"INSR"	"x"	6	0.058247	0.13145	0.997101	3	185	-0.14155
"nc_chr3_1"	"n"	1	0.058378	0.058873	0.917152	1	186	-0.227
"SFN"	"x"	6	0.059331	0.13349	0.997101	2	187	0.0814
"STAG2"	"x"	6	0.059837	0.13446	0.997101	3	188	-0.15745
"GPHN"	"x"	6	0.060607	0.13602	0.997101	1	189	-0.00935
"COPZ1"	"p"	6	0.060987	0.13685	0.997101	3	190	-0.3355
"ZNF217"	"x"	6	0.062186	0.13935	0.997101	2	191	-0.23568
"KHSRP"	"x"	6	0.062379	0.13968	0.997101	2	192	-0.1145
"CCNB2"	"x"	6	0.063323	0.14161	0.997101	3	193	-0.2655
"MAFB"	"x"	6	0.063366	0.14171	0.997101	1	194	0.03955
"POLR2F"	"p"	6	0.063441	0.14186	0.997101	3	195	-0.5695
"RUNX2"	"x"	6	0.063537	0.14201	0.997101	2	196	-0.0591
"CRTC2"	"x"	6	0.063731	0.14232	0.997101	2	197	-0.16495
"IL10RA"	"x"	6	0.064054	0.14292	0.997101	1	198	-0.0375
"KMT2D"	"x"	6	0.064119	0.14303	0.997101	2	199	-0.247
"MITF"	"x"	6	0.064743	0.1443	0.997101	1	200	-0.286
"IRS2"	"x"	6	0.065707	0.14616	0.997101	3	201	-0.2705
"RMI1"	"x"	6	0.065948	0.14655	0.997101	3	202	-0.3175
"PPM1A"	"x"	6	0.066074	0.14676	0.997101	2	203	-0.1745
"CSNK2A2"	"x"	6	0.066118	0.14682	0.997101	2	204	-0.11315
"MKNK2"	"x"	6	0.066431	0.1475	0.997101	3	205	-0.2115
"DDIT3"	"x"	6	0.066862	0.14836	0.997101	2	206	-0.1279
"ACVR1"	"x"	5	0.066937	0.12888	0.997101	1	207	0.116
"RARA"	"x"	6	0.06716	0.14885	0.997101	3	208	-0.1975
"HIF1A"	"x"	6	0.067491	0.14942	0.997101	1	209	0.326
"SET"	"x"	6	0.068177	0.15021	0.997101	2	210	0.11095
"AREG"	"x"	6	0.068848	0.15116	0.997101	2	211	0.2215
"WDR73"	"x"	6	0.068863	0.15117	0.997101	2	212	-0.1645
"PPP1CA"	"x"	6	0.069548	0.152	0.997101	1	213	-0.04875
"nc_chr17_10"	"n"	1	0.070138	0.070463	0.93763	1	214	-1.78
"GATA1"	"x"	6	0.071058	0.15371	0.997101	2	215	-0.1745
"nc_chr19_8"	"n"	1	0.071108	0.071478	0.93763	1	216	-0.437
"ERBB4"	"x"	6	0.071868	0.15469	0.997101	2	217	-0.2135
"RAF1"	"x"	5	0.072076	0.13559	0.997101	2	218	0.148
"PER3"	"x"	6	0.072285	0.15507	0.997101	1	219	-0.11
"DVL1"	"x"	6	0.073089	0.15604	0.997101	2	220	-0.2155
"IL15RA"	"x"	5	0.073092	0.13683	0.997101	2	221	-0.316
"XAB2"	"x"	6	0.073498	0.15654	0.997101	2	222	-0.0871
"CAPN1"	"x"	6	0.073651	0.15671	0.997101	1	223	0.10165
"DNM2"	"x"	6	0.073907	0.157	0.997101	2	224	0.000555345
"CBY1"	"x"	6	0.074333	0.1575	0.997101	1	225	0.005035
"nc_chr20_6"	"n"	1	0.074624	0.07513	0.93763	1	226	-0.52
"nc_chr20_4"	"n"	1	0.074867	0.075335	0.93763	1	227	-0.559
"nc_chr4_3"	"n"	1	0.075594	0.076102	0.93763	1	228	-0.343
"SHC1"	"x"	6	0.076799	0.16036	0.99903	2	229	-0.06623
"E2F5"	"x"	6	0.077058	0.16073	0.99903	2	230	-0.1684
"PHLPP2"	"x"	6	0.078418	0.16238	0.99903	1	231	0.191
"PIK3R3"	"x"	6	0.079098	0.16318	0.99903	2	232	-0.1185
"nc_chr4_11"	"n"	1	0.079353	0.079828	0.93763	1	233	-0.702
"SNAI2"	"x"	6	0.080152	0.16458	0.99903	2	234	-0.1755
"nc_chr10_5"	"n"	1	0.080444	0.081006	0.93763	1	235	-0.209
"CARD11"	"x"	6	0.081133	0.16577	0.99903	1	236	-0.059175
"nc_chr13_3"	"n"	1	0.081535	0.082189	0.93763	1	237	-0.288
"DUSP9"	"x"	6	0.081811	0.16656	0.99903	2	238	-0.5025
"nc_chr19_11"	"n"	1	0.084081	0.084701	0.93763	1	239	-0.622
"GINS1"	"x"	6	0.085193	0.17082	0.99903	1	240	-0.17861
"MAPK8"	"x"	6	0.085929	0.17177	0.99903	2	241	0.0411
"PFAS"	"x"	6	0.086543	0.17239	0.99903	2	242	-0.4095
"FRAT1"	"x"	6	0.087218	0.17324	0.99903	1	243	-0.0318
"nc_chr9_10"	"n"	1	0.087476	0.087847	0.93763	1	244	-0.277
"nc_chr11_6"	"n"	1	0.088931	0.089124	0.93763	1	245	-0.2
"TUBE1"	"x"	6	0.089199	0.17547	0.99903	2	246	-0.206
"PER2"	"x"	6	0.089238	0.1755	0.99903	1	247	0.0018
"AGAP2"	"x"	6	0.089911	0.17633	0.99903	1	248	0.0458
"TSC2"	"x"	6	0.090583	0.17709	0.99903	2	249	0.1143
"ORC6"	"x"	6	0.09074	0.17724	0.99903	2	250	-0.29995
"AMER1"	"x"	6	0.091847	0.17851	0.99903	2	251	0.05285
"FAM175A"	"x"	6	0.092069	0.17876	0.99903	2	252	-0.0073
"RAC3"	"x"	6	0.093269	0.18021	0.99903	1	253	0.1627
"GRB2"	"x"	6	0.093939	0.181	0.99903	1	254	0.07015
"RPL35A"	"p"	6	0.095947	0.1833	0.99903	1	255	0.1498
"HIST1H3A"	"x"	6	0.096319	0.18375	0.99903	2	256	-0.01735
"EAF1"	"x"	6	0.096616	0.18411	0.99903	2	257	-0.2145
"nc_chr9_9"	"n"	1	0.098387	0.098963	0.966127	1	258	-0.305
"SNAP23"	"x"	6	0.099037	0.18705	0.99903	2	259	-0.10465
"RAD50"	"x"	6	0.099952	0.18805	0.99903	1	260	0.16061
"PIK3CB"	"x"	6	0.10018	0.18836	0.99903	2	261	0.15615
"ATG13"	"x"	6	0.10062	0.18889	0.99903	1	262	0.2135
"MAPK8IP3"	"x"	6	0.10128	0.18958	0.99903	1	263	-0.04795
"FOS"	"x"	6	0.10195	0.19042	0.99903	1	264	-0.154
"nc_chr21_9"	"n"	1	0.10202	0.10289	0.977045	1	265	-0.416
"NCL"	"x"	6	0.10339	0.19208	0.99903	2	266	-0.2945
"STK4"	"x"	6	0.10385	0.19265	0.99903	2	267	-0.056
"GRK2"	"x"	6	0.10593	0.19506	0.99903	1	268	-0.009955
"MAD1L1"	"x"	5	0.1064	0.18054	0.99903	2	269	-0.517
"DAB2IP"	"x"	6	0.1066	0.19589	0.99903	2	270	0.051
"nc_chr21_8"	"n"	1	0.10687	0.10782	0.984607	1	271	-0.542
"RAB7A"	"x"	6	0.10688	0.19626	0.99903	2	272	-0.117575
"MSTO1"	"x"	6	0.10726	0.19665	0.99903	2	273	-0.03975
"RHOA"	"x"	6	0.10792	0.19749	0.99903	1	274	0.06785
"DUSP8"	"x"	6	0.10851	0.19823	0.99903	2	275	-0.1836595
"NDRG1"	"x"	6	0.10858	0.19828	0.99903	1	276	-0.041
"BIRC6"	"x"	6	0.10922	0.19907	0.99903	2	277	-0.097
"SLC25A28"	"x"	6	0.10993	0.19992	0.99903	2	278	-0.097
"STAG3"	"x"	6	0.11056	0.20075	0.99903	1	279	0.0566
"LRRK2"	"x"	6	0.11087	0.20109	0.99903	2	280	-0.1135
"ANAPC7"	"x"	6	0.11188	0.2024	0.99903	2	281	-0.1995
"GLI1"	"x"	6	0.11276	0.20348	0.99903	2	282	-0.2295
"HOXB6"	"x"	5	0.1128	0.18899	0.99903	2	283	-0.173
"BMP2"	"x"	6	0.11395	0.20489	0.99903	2	284	-0.0649
"nc_chr14_8"	"n"	1	0.11415	0.11514	0.984607	1	285	-0.305
"MAP4K1"	"x"	6	0.11451	0.20552	0.99903	1	286	-0.08005
"AHCYL1"	"x"	6	0.11517	0.20632	0.99903	2	287	-0.3845
"FHIT"	"x"	6	0.11583	0.20711	0.99903	1	288	0.10337
"DNMT3A"	"x"	6	0.11587	0.20716	0.99903	2	289	0.03395
"MGMT"	"x"	6	0.11648	0.20793	0.99903	1	290	-0.03755
"ARRB2"	"x"	6	0.11707	0.20872	0.99903	2	291	-0.0515
"PRKD1"	"x"	6	0.11779	0.2097	0.99903	2	292	-0.115
"nc_chr2_8"	"n"	1	0.11827	0.11931	0.984607	1	293	-0.312
"nc_chr18_10"	"n"	1	0.11863	0.11966	0.984607	1	294	-0.408
"CDR2"	"x"	6	0.11876	0.21088	0.99903	2	295	-0.2266
"HELQ"	"x"	6	0.11976	0.21209	0.99903	1	296	-0.10515
"ZMYND8"	"x"	6	0.11997	0.2124	0.99903	2	297	-0.134
"ESR1"	"x"	5	0.12002	0.19851	0.99903	2	298	-0.158
"C16orf59"	"x"	6	0.12041	0.2129	0.99903	2	299	-0.274
"nc_chr3_6"	"n"	1	0.12094	0.12195	0.984607	1	300	-0.344
"nc_chr5_3"	"n"	1	0.12106	0.12211	0.984607	1	301	-0.214
"KRAS"	"x"	6	0.12264	0.21531	0.99903	2	302	0.149
"nc_chr10_6"	"n"	1	0.12276	0.12383	0.984607	1	303	-0.126
"TEC"	"x"	6	0.12313	0.21589	0.99903	2	304	0.0155
"NOS3"	"x"	6	0.12368	0.21656	0.99903	1	305	-0.10645
"NKX3-1"	"x"	6	0.12498	0.21799	0.99903	1	306	-0.0512
"RICTOR"	"x"	6	0.12533	0.21835	0.99903	2	307	0.04835
"PLN"	"x"	6	0.12563	0.21865	0.99903	1	308	0.1092
"nc_chr5_11"	"n"	1	0.12652	0.12753	0.993375	1	309	-0.168
"PRKAB2"	"x"	5	0.12656	0.20676	0.99903	2	310	-0.204
"CENPP"	"x"	6	0.12693	0.22023	0.99903	2	311	-0.2095
"DMD"	"x"	6	0.12706	0.22035	0.99903	2	312	-0.1645
"FBXO4"	"x"	6	0.12758	0.22093	0.99903	2	313	-0.05315
"UBE2N"	"x"	6	0.12879	0.22241	0.99903	2	314	0.2235
"EEFSEC"	"x"	6	0.12888	0.22253	0.99903	1	315	0.1365
"ERRFI1"	"x"	5	0.12997	0.21133	0.99903	1	316	0.0681
"nc_chr4_5"	"n"	1	0.13015	0.13094	0.997101	1	317	-0.272
"ABL2"	"x"	6	0.13017	0.22403	0.99903	1	318	0.14175
"CDH11"	"x"	6	0.13028	0.22418	0.99903	2	319	-0.4015
"WWTR1"	"x"	6	0.13082	0.2248	0.99903	2	320	-0.286
"FERMT2"	"x"	6	0.13177	0.22609	0.99903	2	321	0.281
"TTK"	"x"	6	0.13202	0.2264	0.99903	2	322	-0.3565
"MUL1"	"x"	6	0.13211	0.22649	0.99903	1	323	-0.0607
"RBM38"	"x"	6	0.13227	0.22666	0.99903	2	324	-0.17
"MEF2A"	"x"	6	0.13327	0.22783	0.99903	2	325	-0.262
"PDCD6IP"	"x"	6	0.13377	0.22845	0.99903	2	326	-0.18925
"ELMO2"	"x"	6	0.13405	0.22874	0.99903	1	327	0.04735
"PTPN11"	"x"	6	0.13453	0.22925	0.99903	2	328	0.11405
"ID1"	"x"	6	0.13663	0.2318	0.99903	1	329	0.21955
"STAM"	"x"	6	0.13727	0.23251	0.99903	1	330	0.0109
"nc_chr14_6"	"n"	1	0.13876	0.13963	0.997101	1	331	-0.256
"HBA1"	"x"	6	0.14008	0.2359	0.99903	2	332	0.05755
"PKN2"	"x"	6	0.1411	0.23709	0.99903	2	333	-0.0525
"TNFRSF17"	"x"	6	0.14186	0.23816	0.99903	2	334	-0.1915
"nc_chr19_6"	"n"	1	0.14228	0.14327	0.997101	1	335	-0.528
"ADSS"	"x"	6	0.1424	0.23899	0.99903	2	336	-0.2725
"TP53RK"	"x"	6	0.14263	0.2392	0.99903	2	337	0.003
"TCF7L1"	"x"	6	0.14368	0.24045	0.99903	1	338	-0.01015
"CDCA8"	"x"	6	0.14391	0.2407	0.99903	2	339	-0.08205
"MUTYH"	"x"	6	0.14432	0.24119	0.99903	1	340	0.1595
"RPS7"	"p"	6	0.14468	0.24161	0.99903	2	341	-0.115
"SLC18A2"	"x"	6	0.1456	0.24252	0.99903	1	342	0.2725
"PDK2"	"x"	6	0.14624	0.2433	0.99903	1	343	-0.1655
"CUL4B"	"x"	6	0.14673	0.24389	0.99903	2	344	-0.03905
"nc_chr5_5"	"n"	1	0.14688	0.1476	0.997101	1	345	-0.163
"FAAP100"	"x"	6	0.14699	0.24414	0.99903	2	346	-0.3645
"IL10"	"x"	6	0.14776	0.24507	0.99903	2	347	-0.1463
"MAP2K6"	"x"	6	0.14828	0.24568	0.99903	2	348	-0.0175
"MAP3K11"	"x"	6	0.14854	0.24602	0.99903	2	349	0.034
"HIC1"	"x"	6	0.14931	0.24685	0.99903	2	350	0.05305
"MFN2"	"x"	6	0.14942	0.24697	0.99903	2	351	-0.0305
"SNCAIP"	"x"	6	0.14983	0.24738	0.99903	2	352	-0.0758
"RPA2"	"x"	6	0.15006	0.24766	0.99903	2	353	-0.426
"MED10"	"x"	6	0.15009	0.24773	0.99903	2	354	-0.194
"FAAP20"	"x"	6	0.15133	0.2493	0.99903	2	355	0.00950000000000001
"nc_chr12_1"	"n"	1	0.15137	0.15191	0.997101	1	356	-0.335
"CEBPB"	"x"	6	0.15196	0.25014	0.99903	1	357	-0.127
"POLR2A"	"p"	6	0.15217	0.25045	0.99903	2	358	0.03985
